locus_tag,organism,gene_symbol,source_annotation,source_category,in_current_refseq,protein_id,refseq_product,refseq_still_hypothetical,best_hit_method,best_hit_database,best_hit_id,best_hit_description,best_hit_evalue,best_hit_query_coverage,best_hit_query_range,n_evidence_rows,confidence_call,evidence_level,reannotated_category
all3688,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997831.1,NAD(P)/FAD-dependent oxidoreductase,False,HMMER hmmscan,Pfam-A,PF13450.13,NAD(P)-binding Rossmann-like domain,1.3e-15,0.1561,6-59,34,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3696,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3697,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3713,anabaena,-,unknown protein,Hypothetical,True,WP_010997856.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF01618.22,MotA/TolQ/ExbB proton channel family,0.05,0.1466,27-65,2,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3719,anabaena,-,unknown protein,Hypothetical,True,WP_010997862.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF08291.17,Peptidase M15,0.059,0.15,56-88,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3733,anabaena,-,unknown protein,Hypothetical,True,WP_010997875.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF16118.11,Domain of unknown function (DUF4834),0.063,0.8381,17-104,2,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3736,anabaena,-,unknown protein,Hypothetical,True,WP_010997877.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF25948.1,Family of unknown function (DUF7986),0.02,0.2217,7-104,5,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3740,anabaena,hetL,hypothetical protein,Hypothetical,True,WP_010997881.1,heterocyst differentiation pentapeptide repeat protein HetL,False,HMMER hmmscan,Pfam-A,PF00805.29,Pentapeptide repeats (8 copies),7.4e-15,0.1688,183-222,40,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3741,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997882.1,NAD(P)H-dependent flavin oxidoreductase,False,HMMER hmmscan,Pfam-A,PF03060.22,Nitronate monooxygenase,8.1e-43,0.9469,15-371,6,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3745,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997886.1,LmeA family phospholipid-binding protein,False,HMMER hmmscan,Pfam-A,PF11209.14,LmeA-like phospholipid-binding,2.1e-38,0.9167,6-236,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3747,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997888.1,cupin domain-containing protein,False,HMMER hmmscan,Pfam-A,PF07883.18,Cupin domain,1e-15,0.4503,48-115,14,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3772,anabaena,-,unknown protein,Hypothetical,True,WP_010997913.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF11586.14,Protein of unknown function (DUF3242),0.022,0.1543,134-181,3,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3776,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997917.1,FHA domain-containing protein,False,HMMER hmmscan,Pfam-A,PF00498.32,FHA domain,4.2e-14,0.474,42-114,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3779,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997920.1,PIN domain-containing protein,False,HMMER hmmscan,Pfam-A,PF01850.28,PIN domain,7.2e-06,0.5238,24-78,4,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3781,anabaena,-,unknown protein,Hypothetical,True,WP_010997922.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF09440.16,eIF3 subunit 6 N terminal domain,0.11,0.5724,48-134,3,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3785,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997926.1,CPBP family intramembrane glutamic endopeptidase,False,HMMER hmmscan,Pfam-A,PF02517.22,Type II CAAX prenyl endopeptidase Rce1-like,3.6e-22,0.1629,430-515,13,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3786,anabaena,-,hypothetical protein,Hypothetical,True,WP_044521933.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF30787.1,Domain of unknown function (DUF8738),1.3e-06,0.2175,251-322,22,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3787,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997928.1,YcjF family protein,False,HMMER hmmscan,Pfam-A,PF05128.18,Domain of unknown function (DUF697),2.7e-57,0.3062,326-483,35,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3792,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997933.1,CAP domain-containing protein,False,HMMER hmmscan,Pfam-A,PF00188.33,Cysteine-rich secretory protein family,1.9e-15,0.623,66-179,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3793,anabaena,-,unknown protein,Hypothetical,True,WP_010997934.1,CAP domain-containing protein,False,HMMER hmmscan,Pfam-A,PF00188.33,Cysteine-rich secretory protein family,2.8e-13,0.4786,120-231,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3797,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997938.1,fasciclin domain-containing protein,False,HMMER hmmscan,Pfam-A,PF02469.28,Fasciclin domain,2.5e-39,0.4674,137-258,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3819,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997960.1,DUF4351 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF14261.12,Domain of unknown function (DUF4351),1.2e-22,0.21,216-274,2,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3820,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997961.1,DUF456 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF04306.20,Protein of unknown function (DUF456),1.9e-35,0.9535,3-166,10,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3821,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997962.1,cofactor assembly of complex C subunit B,False,HMMER hmmscan,Pfam-A,PF11152.15,"Cofactor assembly of complex C subunit B, CCB2/CCB4",6.5e-89,0.9108,13-206,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3826,anabaena,-,unknown protein,Hypothetical,True,WP_010997967.1,peptidoglycan-binding domain-containing protein,False,HMMER hmmscan,Pfam-A,PF01471.24,Putative peptidoglycan binding domain,1.3e-12,0.2324,95-150,4,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3835,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997976.1,alpha/beta hydrolase,False,HMMER hmmscan,Pfam-A,PF07176.18,Alpha/beta hydrolase of unknown function (DUF1400),8.8e-43,0.7159,27-152,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3837,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997978.1,Rpn family recombination-promoting nuclease/putative transposase,False,HMMER hmmscan,Pfam-A,PF11103.15,Protein of unknown function (DUF2887),9.4e-81,0.7246,3-202,12,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3839,anabaena,-,unknown protein,Hypothetical,True,WP_044521952.1,ATP-binding protein,False,HMMER hmmscan,Pfam-A,PF13191.13,AAA ATPase domain,1.5e-08,0.4116,37-213,37,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3850,anabaena,-,unknown protein,Hypothetical,True,WP_010997991.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3852,anabaena,-,unknown protein,Hypothetical,True,WP_010997993.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3861,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3869,anabaena,-,hypothetical protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3872,anabaena,-,unknown protein,Hypothetical,True,WP_010998013.1,helix-turn-helix domain-containing protein,False,HMMER hmmscan,Pfam-A,PF13413.13,Helix-turn-helix domain,1.9e-18,0.2256,31-90,8,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3873,anabaena,-,hypothetical protein,Hypothetical,True,WP_010998014.1,pseudouridine synthase,False,HMMER hmmscan,Pfam-A,PF00849.28,RNA pseudouridylate synthase,2e-23,0.5153,66-200,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3892,anabaena,-,hypothetical protein,Hypothetical,True,WP_309295002.1,HEAT repeat domain-containing protein,False,HMMER hmmscan,Pfam-A,PF05729.19,NACHT domain,2.7e-12,0.1562,89-247,215,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3893,anabaena,-,unknown protein,Hypothetical,True,WP_010998034.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF27448.1,Rifampicin phosphotransferase fourth domain,0.0091,0.4167,78-137,11,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3894,anabaena,-,hypothetical protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3902,anabaena,-,hypothetical protein,Hypothetical,True,WP_010998043.1,B12-binding domain-containing radical SAM protein,False,HMMER hmmscan,Pfam-A,PF13282.12,Domain of unknown function (DUF4070),6.9e-53,0.2683,359-501,8,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3908,anabaena,-,hypothetical protein,Hypothetical,True,WP_010998049.1,NAD-dependent epimerase/dehydratase family protein,False,HMMER hmmscan,Pfam-A,PF01370.28,NAD dependent epimerase/dehydratase family,8.4e-15,0.7022,6-229,11,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3916,anabaena,-,unknown protein,Hypothetical,True,WP_231865481.1,FecR family protein,False,HMMER hmmscan,Pfam-A,PF04773.19,FecR protein,1.2e-07,0.218,52-131,1,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3927,anabaena,-,unknown protein,Hypothetical,True,WP_010998068.1,dynamin family protein,False,HMMER hmmscan,Pfam-A,PF00350.30,Dynamin family,2.2e-30,0.1796,267-421,21,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3933,anabaena,-,hypothetical protein,Hypothetical,True,WP_010998074.1,glycoside hydrolase family 10 protein,False,HMMER hmmscan,Pfam-A,PF02638.22,Glycosyl hydrolase-like 10,2e-103,0.4062,71-371,16,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3939,anabaena,-,hypothetical protein,Hypothetical,True,WP_010998080.1,FTR1 family iron permease,False,HMMER hmmscan,Pfam-A,PF03239.21,Iron permease FTR1 family,1.7e-54,0.8921,7-287,15,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3940,anabaena,-,hypothetical protein,Hypothetical,True,WP_010998081.1,ferritin-like domain-containing protein,False,HMMER hmmscan,Pfam-A,PF00210.31,Ferritin-like domain,9.5e-19,0.9236,10-142,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3941,anabaena,-,unknown protein,Hypothetical,True,WP_010998082.1,helix-hairpin-helix domain-containing protein,False,"HHpred (manual, MPI Toolkit) -- consensus across corroborating hits",PDB_mmCIF70/SCOPe70 (mixed),consensus (see homology_evidence.csv for individual hits),photosynthesis,,,,20,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,Photosynthesis and respiration
all3942,anabaena,-,hypothetical protein,Hypothetical,True,WP_010998083.1,multicopper oxidase domain-containing protein,False,HMMER hmmscan,Pfam-A,PF07732.22,Multicopper oxidase,2e-18,0.3077,95-198,5,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3951,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3962,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3963,anabaena,-,hypothetical protein,Hypothetical,True,WP_044523218.1,LapA family protein,False,HMMER hmmscan,Pfam-A,PF06305.17,Lipopolysaccharide assembly protein A domain,7.6e-06,0.4111,26-62,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3971,anabaena,-,hypothetical protein,Hypothetical,True,WP_010998112.1,RIP metalloprotease RseP,False,HMMER hmmscan,Pfam-A,PF02163.29,Peptidase family M50,8.7e-64,0.9176,6-339,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3972,anabaena,-,hypothetical protein,Hypothetical,True,WP_010998113.1,type II toxin-antitoxin system VapC family toxin,False,HMMER hmmscan,Pfam-A,PF01850.28,PIN domain,1.1e-12,0.9173,5-126,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3975,anabaena,-,unknown protein,Hypothetical,True,WP_044522029.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF27216.1,YopA C-terminal domain,2.7,0.2225,306-394,3,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3977,anabaena,-,hypothetical protein,Hypothetical,True,WP_011318527.1,DUF3611 family protein,False,HMMER hmmscan,Pfam-A,PF12263.14,Protein of unknown function (DUF3611),2.9e-67,0.9323,12-190,7,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3984,anabaena,-,hypothetical protein,Hypothetical,True,WP_010998125.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF30020.1,AT-rich binding protein third C2H2-type zinc finger domain,0.086,0.0736,105-121,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3987,anabaena,-,unknown protein,Hypothetical,True,WP_010998127.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF08448.17,PAS fold,0.0058,0.2296,125-169,4,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3991,anabaena,-,hypothetical protein,Hypothetical,True,WP_010998131.1,rhodanese-like domain-containing protein,False,HMMER hmmscan,Pfam-A,PF00581.26,Rhodanese-like domain,5.7e-15,0.6565,26-111,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3999,anabaena,-,unknown protein,Hypothetical,True,WP_190449765.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF29119.1,F13C5.5-like protein C-terminal domain,1.8,0.2143,7-27,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all4006,anabaena,-,hypothetical protein,Hypothetical,True,WP_010998146.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF30130.1,VID28/GID5 C-terminal domain,0.19,0.5276,46-112,2,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all4035,anabaena,-,unknown protein,Hypothetical,True,WP_010998175.1,"ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent",False,HMMER hmmscan,Pfam-A,PF21995.2,"B12-dependent ribonucleotide reductase, insertion domain",7.5e-09,0.0503,171-229,13,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all4038,anabaena,-,unknown protein,Hypothetical,True,WP_010998178.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all4040,anabaena,-,unknown protein,Hypothetical,True,WP_010998180.1,WG repeat-containing protein,False,HMMER hmmscan,Pfam-A,PF14903.12,WG containing repeat,4.9e-15,0.1009,162-196,58,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all4041,anabaena,-,hypothetical protein,Hypothetical,True,WP_010998181.1,Uma2 family endonuclease,False,HMMER hmmscan,Pfam-A,PF05685.19,Putative restriction endonuclease,3.7e-14,0.7259,25-167,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all4042,anabaena,-,hypothetical protein,Hypothetical,True,WP_010998182.1,DUF3352 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF11832.14,Protein of unknown function (DUF3352),1.2e-160,0.9782,11-549,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all4049,anabaena,-,unknown protein,Hypothetical,True,WP_010998189.1,DUF2382 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF09557.16,Domain of unknown function (DUF2382),6.6e-08,0.3702,34-100,2,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all4050,anabaena,anaKa,"akinete-marker protein, AnAKa",Hypothetical,True,WP_044522071.1,DUF2382 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF09557.16,Domain of unknown function (DUF2382),1.5e-34,0.3666,188-301,5,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all4051,anabaena,anaKc,"AnAKc, homolog of akinete-marker protein",Hypothetical,True,WP_010998191.1,DUF2382 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF09557.16,Domain of unknown function (DUF2382),7.8e-34,0.4021,150-262,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all4070,anabaena,-,unknown protein,Hypothetical,True,WP_049942504.1,AMIN domain-containing protein,False,HMMER hmmscan,Pfam-A,PF11741.14,AMIN domain,3.8e-17,0.4255,43-142,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all4073,anabaena,-,unknown protein,Hypothetical,True,WP_044522079.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF10206.15,"Mitochondrial F1F0-ATP synthase, subunit f",0.24,0.3028,53-95,6,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all4074,anabaena,-,hypothetical protein,Hypothetical,True,WP_010998214.1,M48 family metallopeptidase,False,HMMER hmmscan,Pfam-A,PF01435.25,Peptidase family M48,1.5e-25,0.6344,63-265,8,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all4078,anabaena,-,hypothetical protein,Hypothetical,True,WP_044522081.1,CHAT domain-containing protein,False,HMMER hmmscan,Pfam-A,PF12770.13,CHAT domain,1.4e-64,0.4108,415-704,41,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all4081,anabaena,-,hypothetical protein,Hypothetical,True,WP_010998221.1,glycoside hydrolase family 10 protein,False,HMMER hmmscan,Pfam-A,PF02638.22,Glycosyl hydrolase-like 10,2.4e-109,0.7047,78-380,6,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all4083,anabaena,-,unknown protein,Hypothetical,True,WP_010998223.1,FHA domain-containing protein,False,HMMER hmmscan,Pfam-A,PF00498.32,FHA domain,3.2e-13,0.089,44-101,2,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all4084,anabaena,-,unknown protein,Hypothetical,True,WP_010998224.1,FHA domain-containing protein,False,HMMER hmmscan,Pfam-A,PF00498.32,FHA domain,2e-14,0.3575,31-99,26,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all4089,anabaena,-,unknown protein,Hypothetical,True,WP_010998229.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
